Моделирование погоды - Марковский процесс с непрерывным временем
Дата экспорта: 29.05.2026 03:49:15
Всего дней: 5000
Общее время моделирования: 5000,00 дней
Начальное состояние: Облачно
Seed генератора: 42

=== МАТРИЦА ИНТЕНСИВНОСТЕЙ (ГЕНЕРАТОР Q) ===
Из\В;Ясно;Облачно;Пасмурно;Интенсивность выхода
Ясно;-0,4;0,3;0,1;0,4
Облачно;0,4;-0,8;0,4;0,8
Пасмурно;0,1;0,4;-0,5;0,5

=== СТАЦИОНАРНЫЕ РАСПРЕДЕЛЕНИЯ ===
Состояние;Время (дни);Эмпирическая вероятность;Теоретическая вероятность;Абсолютная ошибка;Относительная ошибка
Ясно;1917,6791;0,383536;0,381000;0,002536;0,006656
Облачно;1470,5211;0,294104;0,301500;0,007396;0,024530
Пасмурно;1611,7999;0,322360;0,317500;0,004860;0,015307

=== ХАРАКТЕРИСТИКИ ВРЕМЕНИ ПРЕБЫВАНИЯ ===
Состояние;Интенсивность λ;Количество переходов;Среднее (эмп);Среднее (теор);Дисперсия (эмп);Дисперсия (теор)
Ясно;0,4;740;2,587568;2,500000;6,335628;6,250000
Облачно;0,8;1154;1,274282;1,250000;1,720535;1,562500
Пасмурно;0,5;802;2,009726;2,000000;4,046947;4,000000

=== ИСТОРИЯ ВЕРОЯТНОСТЕЙ ПО ДНЯМ ===
День-Время;Ясно;Облачно;Пасмурно
[День 1024. 00:00];0,356466;0,318974;0,324560
[День 1024. 06:52];0,356366;0,319165;0,324469
[День 1025. 00:00];0,356118;0,318942;0,324939
[День 1025. 02:16];0,356085;0,318913;0,325002
[День 1026. 00:00];0,356654;0,318632;0,324715
[День 1027. 00:00];0,357280;0,318321;0,324399
[День 1028. 00:00];0,357905;0,318012;0,324083
[День 1029. 00:00];0,358529;0,317703;0,323768
[День 1030. 00:00];0,359152;0,317394;0,323454
[День 1030. 18:44];0,359637;0,317154;0,323209
[День 1031. 00:00];0,359561;0,317299;0,323140
[День 1031. 02:23];0,359526;0,317365;0,323109
[День 1032. 00:00];0,359213;0,317088;0,323699
[День 1032. 01:54];0,359185;0,317064;0,323751
[День 1033. 00:00];0,358865;0,317672;0,323463
[День 1033. 15:48];0,358636;0,318107;0,323257
[День 1034. 00:00];0,358848;0,318002;0,323150
[День 1035. 00:00];0,359467;0,317695;0,322838
[День 1035. 14:50];0,359849;0,317506;0,322645
[День 1036. 00:00];0,359717;0,317757;0,322526
[День 1037. 00:00];0,359370;0,318415;0,322215
[День 1037. 00:35];0,359361;0,318431;0,322208
[День 1037. 10:20];0,359612;0,318306;0,322081
[День 1038. 00:00];0,359415;0,318680;0,321905
[День 1039. 00:00];0,359069;0,319336;0,321595
[День 1040. 00:00];0,358724;0,319990;0,321286
[День 1041. 00:00];0,358379;0,320644;0,320977
[День 1042. 00:00];0,358035;0,321296;0,320669
[День 1043. 00:00];0,357692;0,321946;0,320362
[День 1044. 00:00];0,357349;0,322596;0,320055
[День 1044. 10:43];0,357197;0,322886;0,319918
[День 1045. 00:00];0,357537;0,322715;0,319748
[День 1046. 00:00];0,358151;0,322406;0,319443
[День 1047. 00:00];0,358764;0,322098;0,319138
[День 1048. 00:00];0,359376;0,321791;0,318833
[День 1048. 06:55];0,359552;0,321702;0,318745
[День 1049. 00:00];0,359308;0,321484;0,319207
[День 1049. 09:24];0,359174;0,321364;0,319462
[День 1049. 12:47];0,359260;0,321321;0,319419
[День 1050. 00:00];0,359101;0,321178;0,319721
[День 1051. 00:00];0,358759;0,320873;0,320369
[День 1051. 13:54];0,358561;0,320696;0,320743
[День 1051. 16:37];0,358523;0,320769;0,320708
[День 1052. 00:00];0,358710;0,320675;0,320615
[День 1053. 00:00];0,359319;0,320371;0,320310
[День 1054. 00:00];0,359927;0,320067;0,320006
[День 1054. 12:33];0,360244;0,319908;0,319848
[День 1054. 18:22];0,360162;0,320064;0,319774
[День 1055. 00:00];0,360304;0,319993;0,319703
[День 1055. 14:15];0,360664;0,319813;0,319523
[День 1056. 00:00];0,360525;0,320074;0,319400
[День 1057. 00:00];0,360184;0,320718;0,319098
[День 1057. 15:02];0,359971;0,321120;0,318909
[День 1058. 00:00];0,360197;0,321007;0,318797
[День 1059. 00:00];0,360801;0,320704;0,318495
[День 1059. 23:10];0,361383;0,320412;0,318205
[День 1060. 00:00];0,361371;0,320434;0,318195
[День 1061. 00:00];0,361031;0,321074;0,317895
[День 1062. 00:00];0,360691;0,321713;0,317596
[День 1062. 12:34];0,360513;0,322048;0,317439
[День 1063. 00:00];0,360799;0,321904;0,317297
[День 1064. 00:00];0,361400;0,321601;0,316999
[День 1064. 01:04];0,361427;0,321588;0,316985
[День 1065. 00:00];0,361103;0,322196;0,316701
[День 1065. 09:37];0,360967;0,322451;0,316582
[День 1065. 09:57];0,360962;0,322447;0,316591
[День 1066. 00:00];0,360764;0,322819;0,316417
[День 1066. 06:37];0,360670;0,322994;0,316335
[День 1067. 00:00];0,360426;0,322775;0,316799
[День 1067. 06:19];0,360337;0,322695;0,316968
[День 1068. 00:00];0,360088;0,323162;0,316750
[День 1068. 18:29];0,359829;0,323650;0,316521
[День 1068. 20:51];0,359888;0,323620;0,316492
[День 1069. 00:00];0,359844;0,323580;0,316575
[День 1070. 00:00];0,359508;0,323278;0,317214
[День 1071. 00:00];0,359172;0,322976;0,317852
[День 1072. 00:00];0,358837;0,322675;0,318488
[День 1073. 00:00];0,358503;0,322374;0,319123
[День 1074. 00:00];0,358169;0,322074;0,319757
[День 1075. 00:00];0,357836;0,321774;0,320390
[День 1075. 17:06];0,357598;0,321561;0,320840
[День 1076. 00:00];0,357770;0,321475;0,320755
[День 1076. 11:28];0,358055;0,321333;0,320612
[День 1077. 00:00];0,357881;0,321177;0,320942
[День 1077. 11:13];0,357726;0,321037;0,321236
[День 1078. 00:00];0,357550;0,321373;0,321078
[День 1078. 20:35];0,357265;0,321913;0,320822
[День 1079. 00:00];0,357218;0,321870;0,320912
[День 1080. 00:00];0,356887;0,321572;0,321540
[День 1080. 02:52];0,356848;0,321536;0,321616
[День 1080. 04:32];0,356825;0,321580;0,321595
[День 1080. 07:54];0,356779;0,321538;0,321683
[День 1081. 00:00];0,356557;0,321959;0,321484
[День 1082. 00:00];0,356228;0,322586;0,321187
[День 1082. 17:14];0,355991;0,323035;0,320974
[День 1083. 00:00];0,356159;0,322951;0,320890
[День 1084. 00:00];0,356753;0,322653;0,320594
[День 1085. 00:00];0,357346;0,322356;0,320299
[День 1086. 00:00];0,357938;0,322059;0,320004
[День 1087. 00:00];0,358528;0,321763;0,319709
[День 1087. 12:13];0,358829;0,321612;0,319559
[День 1088. 00:00];0,358667;0,321918;0,319415
[День 1088. 00:29];0,358660;0,321930;0,319409
[День 1089. 00:00];0,358338;0,321641;0,320021
[День 1090. 00:00];0,358009;0,321346;0,320645
[День 1091. 00:00];0,357681;0,321051;0,321268
[День 1092. 00:00];0,357353;0,320757;0,321889
[День 1093. 00:00];0,357026;0,320464;0,322510
[День 1094. 00:00];0,356700;0,320171;0,323129
[День 1094. 08:09];0,356589;0,320072;0,323339
[День 1094. 09:37];0,356569;0,320110;0,323321
[День 1095. 00:00];0,356921;0,319935;0,323144
[День 1095. 07:05];0,357095;0,319848;0,323057
[День 1096. 00:00];0,356865;0,320285;0,322849
[День 1096. 06:03];0,356783;0,320442;0,322775
[День 1096. 23:50];0,357218;0,320225;0,322557
[День 1097. 00:00];0,357216;0,320229;0,322555
[День 1097. 10:34];0,357072;0,320503;0,322425
[День 1098. 00:00];0,356890;0,320339;0,322770
[День 1099. 00:00];0,356566;0,320048;0,323387
[День 1099. 11:56];0,356404;0,319903;0,323693
[День 1099. 17:56];0,356323;0,320057;0,323619
[День 1100. 00:00];0,356241;0,319984;0,323775
[День 1100. 06:06];0,356159;0,319910;0,323931
[День 1100. 19:30];0,355978;0,320255;0,323767
[День 1101. 00:00];0,356088;0,320201;0,323712
[День 1101. 21:38];0,356614;0,319939;0,323447
[День 1102. 00:00];0,356583;0,319999;0,323418
[День 1102. 02:45];0,356545;0,320070;0,323384
[День 1102. 15:16];0,356377;0,319919;0,323704
[День 1103. 00:00];0,356259;0,320143;0,323597
[День 1103. 07:49];0,356154;0,320344;0,323502
[День 1103. 10:25];0,356217;0,320313;0,323470
[День 1104. 00:00];0,356035;0,320661;0,323304
[День 1104. 02:26];0,356002;0,320724;0,323274
[День 1104. 03:42];0,356032;0,320709;0,323259
[День 1105. 00:00];0,355760;0,320463;0,323777
[День 1106. 00:00];0,355438;0,320173;0,324389
[День 1107. 00:00];0,355117;0,319884;0,324999
[День 1108. 00:00];0,354797;0,319595;0,325608
[День 1108. 00:41];0,354787;0,319587;0,325625
[День 1109. 00:00];0,354477;0,320183;0,325340
[День 1109. 15:24];0,354272;0,320577;0,325152
[День 1110. 00:00];0,354480;0,320473;0,325047
[День 1111. 00:00];0,355061;0,320185;0,324755
[День 1112. 00:00];0,355641;0,319897;0,324463
[День 1112. 20:16];0,356130;0,319654;0,324216
[День 1113. 00:00];0,356080;0,319749;0,324171
[День 1113. 06:00];0,356000;0,319902;0,324098
[День 1114. 00:00];0,356433;0,319687;0,323880
[День 1114. 22:32];0,356975;0,319418;0,323607
[День 1115. 00:00];0,356956;0,319455;0,323590
[День 1115. 12:37];0,356787;0,319776;0,323437
[День 1116. 00:00];0,357061;0,319640;0,323300
[День 1117. 00:00];0,357636;0,319354;0,323010
[День 1118. 00:00];0,358211;0,319068;0,322721
[День 1119. 00:00];0,358784;0,318783;0,322433
[День 1120. 00:00];0,359357;0,318498;0,322145
[День 1121. 00:00];0,359928;0,318214;0,321858
[День 1122. 00:00];0,360499;0,317930;0,321571
[День 1123. 00:00];0,361068;0,317647;0,321284
[День 1124. 00:00];0,361637;0,317365;0,320998
[День 1124. 06:10];0,361783;0,317292;0,320925
[День 1124. 09:38];0,361736;0,317380;0,320884
[День 1125. 00:00];0,361544;0,317211;0,321245
[День 1125. 12:29];0,361377;0,317064;0,321559
[День 1126. 00:00];0,361648;0,316929;0,321422
[День 1127. 00:00];0,362215;0,316648;0,321137
[День 1128. 00:00];0,362780;0,316367;0,320852
[День 1129. 00:00];0,363345;0,316087;0,320568
[День 1130. 00:00];0,363908;0,315807;0,320284
[День 1130. 16:59];0,364306;0,315610;0,320084
[День 1130. 17:51];0,364295;0,315632;0,320074
[День 1131. 00:00];0,364212;0,315560;0,320227
[День 1132. 00:00];0,363891;0,315281;0,320828
[День 1133. 00:00];0,363569;0,315003;0,321427
[День 1133. 00:53];0,363557;0,314993;0,321450
[День 1134. 00:00];0,363249;0,315574;0,321177
[День 1135. 00:00];0,362929;0,316177;0,320894
[День 1136. 00:00];0,362609;0,316779;0,320611
[День 1137. 00:00];0,362290;0,317380;0,320330
[День 1137. 20:53];0,362013;0,317902;0,320085
[День 1138. 00:00];0,361972;0,317866;0,320162
[День 1138. 18:07];0,361732;0,317655;0,320613
[День 1138. 22:21];0,361676;0,317761;0,320563
[День 1139. 00:00];0,361654;0,317741;0,320604
[День 1139. 23:20];0,361346;0,317470;0,321184
[День 1140. 00:00];0,361337;0,317487;0,321176
[День 1141. 00:00];0,361020;0,318085;0,320895
[День 1141. 07:23];0,360923;0,318269;0,320808
[День 1142. 00:00];0,360704;0,318076;0,321220
[День 1143. 00:00];0,360389;0,317798;0,321814
[День 1144. 00:00];0,360074;0,317520;0,322406
[День 1145. 00:00];0,359759;0,317243;0,322998
[День 1146. 00:00];0,359445;0,316966;0,323589
[День 1147. 00:00];0,359132;0,316690;0,324179
[День 1147. 01:15];0,359115;0,316675;0,324209
[День 1148. 00:00];0,358819;0,317239;0,323942
[День 1149. 00:00];0,358507;0,317833;0,323660
[День 1149. 03:34];0,358460;0,317922;0,323618
[День 1149. 15:25];0,358306;0,317785;0,323908
[День 1149. 17:47];0,358276;0,317844;0,323881
[День 1150. 00:00];0,358420;0,317772;0,323808
[День 1151. 00:00];0,358977;0,317496;0,323527
[День 1152. 00:00];0,359534;0,317220;0,323246
[День 1152. 06:01];0,359673;0,317151;0,323175
[День 1152. 15:55];0,359544;0,317396;0,323060
[День 1153. 00:00];0,359440;0,317303;0,323257
[День 1154. 00:00];0,359128;0,317028;0,323844
[День 1155. 00:00];0,358817;0,316754;0,324429
[День 1155. 10:11];0,358685;0,316638;0,324677
[День 1156. 00:00];0,358507;0,316978;0,324516
[День 1156. 20:59];0,358236;0,317494;0,324270
[День 1157. 00:00];0,358305;0,317460;0,324235
[День 1158. 00:00];0,358859;0,317186;0,323955
[День 1159. 00:00];0,359413;0,316912;0,323676
[День 1160. 00:00];0,359965;0,316639;0,323397
[День 1160. 02:48];0,360029;0,316607;0,323364
[День 1160. 21:47];0,359784;0,317073;0,323144
[День 1161. 00:00];0,359755;0,317047;0,323197
[День 1162. 00:00];0,359446;0,316775;0,323780
[День 1162. 16:16];0,359236;0,316590;0,324174
[День 1163. 00:00];0,359413;0,316502;0,324084
[День 1164. 00:00];0,359964;0,316230;0,323806
[День 1164. 20:33];0,360434;0,315998;0,323568
[День 1165. 00:00];0,360390;0,315959;0,323651
[День 1166. 00:00];0,360081;0,315688;0,324231
[День 1167. 00:00];0,359772;0,315417;0,324810
[День 1168. 00:00];0,359464;0,315147;0,325388
[День 1169. 00:00];0,359157;0,314878;0,325965
[День 1169. 10:35];0,359021;0,314759;0,326220
[День 1169. 12:42];0,358994;0,314811;0,326195
[День 1170. 00:00];0,358850;0,314684;0,326466
[День 1170. 14:06];0,358670;0,314526;0,326804
[День 1171. 00:00];0,358895;0,314415;0,326689
[День 1172. 00:00];0,359442;0,314147;0,326411
[День 1173. 00:00];0,359988;0,313879;0,326132
[День 1174. 00:00];0,360533;0,313612;0,325855
[День 1175. 00:00];0,361078;0,313345;0,325577
[День 1175. 17:07];0,361466;0,313155;0,325380
[День 1176. 00:00];0,361378;0,313322;0,325300
[День 1176. 08:19];0,361271;0,313525;0,325204
[День 1177. 00:00];0,361625;0,313351;0,325024
[День 1178. 00:00];0,362167;0,313085;0,324748
[День 1178. 12:20];0,362445;0,312948;0,324606
[День 1178. 20:30];0,362341;0,313146;0,324513
[День 1179. 00:00];0,362420;0,313108;0,324473
[День 1179. 20:48];0,362888;0,312878;0,324234
[День 1180. 00:00];0,362847;0,312955;0,324198
[День 1181. 00:00];0,362540;0,313537;0,323923
[День 1181. 08:18];0,362434;0,313738;0,323828
[День 1182. 00:00];0,362786;0,313564;0,323649
[День 1183. 00:00];0,363325;0,313299;0,323376
[День 1183. 03:30];0,363404;0,313261;0,323336
[День 1183. 04:57];0,363385;0,313296;0,323319
[День 1183. 19:59];0,363193;0,313130;0,323677
[День 1183. 20:24];0,363188;0,313140;0,323672
[День 1183. 23:59];0,363142;0,313101;0,323758
[День 1184. 23:59];0,362835;0,312836;0,324328
[День 1185. 02:44];0,362801;0,312806;0,324393
[День 1185. 23:59];0,363276;0,312573;0,324151
[День 1186. 00:53];0,363296;0,312563;0,324141
[День 1186. 23:59];0,363002;0,313121;0,323878
[День 1187. 06:05];0,362924;0,313268;0,323809
[День 1187. 19:34];0,363225;0,313120;0,323656
[День 1187. 23:59];0,363168;0,313226;0,323605
[День 1188. 02:38];0,363135;0,313290;0,323575
[День 1188. 23:59];0,363612;0,313055;0,323333
[День 1189. 19:06];0,364037;0,312846;0,323117
[День 1189. 23:59];0,363975;0,312963;0,323061
[День 1190. 23:59];0,363670;0,313540;0,322790
[День 1191. 23:59];0,363364;0,314116;0,322519
[День 1192. 00:11];0,363362;0,314121;0,322517
[День 1192. 13:02];0,363648;0,313980;0,322372
[День 1192. 22:36];0,363526;0,314209;0,322265
[День 1192. 23:59];0,363557;0,314194;0,322249
[День 1193. 20:22];0,364009;0,313971;0,322020
[День 1193. 23:59];0,363963;0,313931;0,322106
[День 1194. 16:32];0,363753;0,313750;0,322497
[День 1194. 23:59];0,363659;0,313929;0,322413
[День 1195. 15:58];0,363456;0,314310;0,322233
[День 1195. 23:59];0,363355;0,314222;0,322423
[День 1196. 23:59];0,363051;0,313960;0,322989
[День 1197. 23:59];0,362748;0,313698;0,323554
[День 1198. 23:59];0,362445;0,313436;0,324118
[День 1199. 23:59];0,362143;0,313175;0,324682
[День 1200. 23:59];0,361842;0,312914;0,325244
[День 1201. 23:59];0,361541;0,312654;0,325805
[День 1202. 21:14];0,361275;0,312424;0,326302
[День 1202. 23:59];0,361240;0,312489;0,326270
[День 1203. 23:59];0,360940;0,313060;0,325999
[День 1204. 00:57];0,360928;0,313083;0,325989
[День 1204. 03:01];0,360903;0,313060;0,326037
[День 1204. 23:59];0,360641;0,313559;0,325801
[День 1205. 23:59];0,360342;0,314128;0,325530
[День 1206. 23:59];0,360043;0,314696;0,325261
[День 1207. 10:54];0,359908;0,314954;0,325138
[День 1207. 23:59];0,360197;0,314812;0,324991
[День 1208. 10:23];0,360426;0,314699;0,324875
[День 1208. 23:59];0,360257;0,315020;0,324723
[День 1209. 06:06];0,360181;0,315165;0,324654
[День 1209. 23:59];0,359959;0,314970;0,325070
[День 1210. 09:21];0,359843;0,314869;0,325288
[День 1210. 23:59];0,360166;0,314710;0,325124
[День 1211. 23:59];0,360694;0,314451;0,324856
[День 1212. 23:59];0,361221;0,314191;0,324588
[День 1213. 23:59];0,361747;0,313933;0,324320
[День 1214. 01:54];0,361789;0,313912;0,324299
[День 1214. 23:59];0,361515;0,313674;0,324811
[День 1215. 23:59];0,361218;0,313416;0,325366
[День 1216. 23:59];0,360921;0,313159;0,325920
[День 1217. 07:16];0,360831;0,313081;0,326088
[День 1217. 23:59];0,360624;0,313474;0,325902
[День 1218. 23:59];0,360329;0,314037;0,325634
[День 1219. 23:59];0,360033;0,314599;0,325367
[День 1220. 11:54];0,359887;0,314878;0,325235
[День 1220. 23:59];0,359738;0,314748;0,325514
[День 1221. 23:59];0,359444;0,314491;0,326065
[День 1222. 23:59];0,359150;0,314233;0,326617
[День 1223. 09:40];0,359032;0,314130;0,326839
[День 1223. 12:28];0,358998;0,314195;0,326807
[День 1223. 23:59];0,358857;0,314072;0,327072
[День 1224. 23:59];0,358564;0,313815;0,327621
[День 1225. 00:46];0,358554;0,313807;0,327639
[День 1225. 13:59];0,358393;0,314115;0,327492
[День 1225. 23:59];0,358612;0,314008;0,327380
[День 1226. 23:25];0,359122;0,313758;0,327120
[День 1226. 23:59];0,359115;0,313752;0,327133
[День 1227. 23:59];0,358823;0,313497;0,327681
[День 1228. 23:59];0,358531;0,313242;0,328228
[День 1229. 23:59];0,358239;0,312987;0,328774
[День 1230. 16:27];0,358040;0,312813;0,329148
[День 1230. 23:59];0,357948;0,312988;0,329064
[День 1231. 17:45];0,357733;0,313401;0,328866
[День 1231. 23:59];0,357658;0,313335;0,329008
[День 1232. 23:59];0,357367;0,313081;0,329552
[День 1233. 23:59];0,357078;0,312827;0,330095
[День 1234. 23:59];0,356789;0,312574;0,330638
[День 1235. 23:59];0,356500;0,312321;0,331179
[День 1236. 23:59];0,356212;0,312068;0,331720
[День 1237. 04:48];0,356154;0,312018;0,331828
[День 1237. 23:59];0,355924;0,312462;0,331614
[День 1238. 14:03];0,355756;0,312788;0,331457
[День 1238. 23:59];0,355971;0,312683;0,331346
[День 1239. 15:06];0,356298;0,312524;0,331178
[День 1239. 23:59];0,356192;0,312730;0,331079
[День 1240. 23:59];0,355905;0,313283;0,330812
[День 1241. 23:59];0,355618;0,313836;0,330546
[День 1242. 05:41];0,355550;0,313967;0,330483
[День 1242. 11:59];0,355475;0,313901;0,330624
[День 1242. 21:36];0,355360;0,314122;0,330517
[День 1243. 00:00];0,355332;0,314097;0,330571
[День 1244. 00:00];0,355046;0,313844;0,331109
[День 1245. 00:00];0,354761;0,313592;0,331647
[День 1246. 00:00];0,354476;0,313341;0,332183
[День 1247. 00:00];0,354192;0,313089;0,332719
[День 1248. 00:00];0,353908;0,312838;0,333253
[День 1249. 00:00];0,353625;0,312588;0,333787
[День 1250. 00:00];0,353342;0,312338;0,334320
[День 1250. 00:18];0,353339;0,312335;0,334327
[День 1250. 09:41];0,353228;0,312550;0,334222
[День 1250. 17:18];0,353138;0,312470;0,334391
[День 1250. 23:59];0,353060;0,312624;0,334317
[День 1251. 23:59];0,352778;0,313173;0,334050
[День 1252. 23:59];0,352496;0,313721;0,333783
[День 1253. 10:51];0,352369;0,313969;0,333662
[День 1253. 15:10];0,352318;0,313924;0,333758
[День 1253. 23:59];0,352215;0,314125;0,333660
[День 1254. 23:02];0,351946;0,314650;0,333405
[День 1254. 23:59];0,351934;0,314640;0,333426
[День 1255. 23:59];0,351654;0,314389;0,333957
[День 1256. 23:59];0,351374;0,314139;0,334487
[День 1257. 23:59];0,351095;0,313889;0,335016
[День 1258. 09:57];0,350979;0,313786;0,335235
[День 1258. 23:59];0,350816;0,314105;0,335079
[День 1259. 23:59];0,350538;0,314649;0,334813
[День 1260. 10:13];0,350419;0,314881;0,334700
[День 1260. 23:59];0,350260;0,314737;0,335003
[День 1261. 23:59];0,349982;0,314488;0,335530
[День 1262. 23:59];0,349705;0,314239;0,336056
[День 1263. 13:51];0,349545;0,314095;0,336359
[День 1263. 23:59];0,349429;0,314325;0,336247
[День 1264. 09:52];0,349315;0,314548;0,336137
[День 1264. 23:59];0,349152;0,314401;0,336446
[День 1265. 21:15];0,348908;0,314181;0,336911
[День 1265. 23:59];0,348876;0,314243;0,336880
[День 1266. 23:59];0,348601;0,314784;0,336615
[День 1267. 23:59];0,348326;0,315325;0,336349
[День 1268. 23:59];0,348052;0,315864;0,336084
[День 1269. 13:18];0,347900;0,316163;0,335937
[День 1269. 23:59];0,348128;0,316052;0,335819
[День 1270. 23:59];0,348641;0,315804;0,335555
[День 1271. 23:59];0,349153;0,315555;0,335291
[День 1272. 23:59];0,349665;0,315308;0,335028
[День 1273. 12:11];0,349924;0,315182;0,334894
[День 1273. 23:59];0,349789;0,315446;0,334765
[День 1274. 15:46];0,349608;0,315799;0,334592
[День 1274. 23:59];0,349783;0,315714;0,334502
[День 1275. 23:59];0,350293;0,315467;0,334240
[День 1276. 07:38];0,350455;0,315388;0,334157
[День 1276. 09:26];0,350434;0,315370;0,334196
[День 1276. 21:55];0,350292;0,315648;0,334060
[День 1276. 23:59];0,350336;0,315627;0,334037
[День 1277. 07:08];0,350487;0,315553;0,333959
[День 1277. 23:59];0,350295;0,315380;0,334325
[День 1278. 23:59];0,350021;0,315134;0,334846
[День 1279. 23:59];0,349747;0,314887;0,335365
[День 1280. 23:59];0,349474;0,314642;0,335884
[День 1281. 23:59];0,349202;0,314396;0,336402
[День 1282. 23:59];0,348929;0,314151;0,336920
[День 1283. 23:59];0,348658;0,313906;0,337436
[День 1284. 23:59];0,348386;0,313662;0,337952
[День 1285. 23:59];0,348115;0,313418;0,338466
[День 1286. 23:59];0,347845;0,313175;0,338980
[День 1287. 23:59];0,347575;0,312931;0,339494
[День 1288. 23:59];0,347305;0,312689;0,340006
[День 1289. 23:59];0,347036;0,312446;0,340518
[День 1290. 23:59];0,346767;0,312204;0,341029
[День 1291. 23:59];0,346499;0,311963;0,341539
[День 1292. 23:59];0,346231;0,311721;0,342048
[День 1293. 23:59];0,345963;0,311480;0,342556
[День 1294. 06:36];0,345890;0,311414;0,342696
[День 1294. 23:59];0,345696;0,311800;0,342504
[День 1295. 00:40];0,345689;0,311814;0,342497
[День 1295. 11:03];0,345907;0,311710;0,342383
[День 1295. 23:00];0,345774;0,311591;0,342635
[День 1295. 23:59];0,345763;0,311613;0,342624
[День 1296. 02:00];0,345741;0,311657;0,342602
[День 1296. 23:59];0,345497;0,311437;0,343067
[День 1297. 23:59];0,345230;0,311197;0,343573
[День 1298. 23:59];0,344965;0,310957;0,344078
[День 1299. 23:27];0,344705;0,310723;0,344572
[День 1299. 23:59];0,344699;0,310735;0,344566
[День 1300. 23:59];0,344434;0,311265;0,344301
[День 1301. 14:46];0,344271;0,311591;0,344138
[День 1301. 23:59];0,344465;0,311499;0,344036
[День 1302. 23:59];0,344968;0,311260;0,343772
[День 1303. 23:59];0,345470;0,311021;0,343509
[День 1304. 15:46];0,345800;0,310864;0,343336
[День 1304. 23:59];0,345709;0,311045;0,343245
[День 1305. 13:13];0,345563;0,311336;0,343100
[День 1305. 23:59];0,345788;0,311229;0,342983
[День 1306. 01:49];0,345826;0,311211;0,342963
[День 1306. 02:48];0,345816;0,311233;0,342952
[День 1306. 19:05];0,346155;0,311071;0,342774
[День 1306. 23:59];0,346101;0,311022;0,342876
[День 1307. 23:59];0,345837;0,310785;0,343379
[День 1308. 23:16];0,345580;0,310554;0,343865
[День 1308. 23:59];0,345572;0,310570;0,343858
[День 1309. 23:59];0,345309;0,311096;0,343595
[День 1310. 09:15];0,345207;0,311299;0,343494
[День 1310. 23:59];0,345045;0,311153;0,343802
[День 1311. 19:30];0,344831;0,310960;0,344208
[День 1311. 23:59];0,344782;0,311059;0,344159
[День 1312. 05:39];0,344720;0,311182;0,344097
[День 1312. 23:59];0,344520;0,311001;0,344479
[День 1313. 23:59];0,344257;0,310765;0,344978
[День 1314. 23:59];0,343996;0,310528;0,345476
[День 1315. 23:50];0,343736;0,310294;0,345970
[День 1315. 23:59];0,343734;0,310297;0,345968
[День 1316. 23:59];0,343473;0,310821;0,345706
[День 1317. 23:59];0,343213;0,311344;0,345443
[День 1318. 23:59];0,342952;0,311866;0,345181
[День 1319. 23:59];0,342693;0,312387;0,344920
[День 1320. 23:59];0,342433;0,312908;0,344659
[День 1321. 23:59];0,342174;0,313428;0,344398
[День 1322. 01:56];0,342153;0,313470;0,344377
[День 1322. 14:56];0,342013;0,313341;0,344646
[День 1322. 23:59];0,341915;0,313537;0,344547
[День 1323. 23:59];0,341657;0,314056;0,344287
[День 1324. 23:59];0,341399;0,314573;0,344027
[День 1325. 10:19];0,341289;0,314796;0,343916
[День 1325. 23:59];0,341572;0,314660;0,343768
[День 1326. 23:59];0,342068;0,314423;0,343509
[День 1327. 23:59];0,342563;0,314186;0,343250
[День 1328. 23:59];0,343058;0,313950;0,342992
[День 1329. 23:59];0,343552;0,313714;0,342734
[День 1330. 12:13];0,343803;0,313594;0,342603
[День 1330. 19:21];0,343726;0,313747;0,342526
[День 1330. 23:59];0,343822;0,313702;0,342477
[День 1331. 23:59];0,344314;0,313466;0,342219
[День 1332. 05:39];0,344430;0,313411;0,342159
[День 1332. 23:59];0,344233;0,313231;0,342536
[День 1333. 23:59];0,343975;0,312996;0,343029
[День 1334. 10:35];0,343861;0,312893;0,343246
[День 1334. 23:59];0,343717;0,313181;0,343103
[День 1335. 23:59];0,343460;0,313695;0,342846
[День 1336. 05:55];0,343396;0,313821;0,342782
[День 1336. 23:59];0,343203;0,313644;0,343153
[День 1337. 23:59];0,342946;0,313410;0,343644
[День 1338. 06:57];0,342872;0,313342;0,343786
[День 1338. 23:59];0,342690;0,313706;0,343604
[День 1339. 12:54];0,342553;0,313982;0,343466
[День 1339. 23:59];0,342434;0,313873;0,343692
[День 1340. 23:59];0,342179;0,313639;0,344182
[День 1341. 00:17];0,342176;0,313636;0,344188
[День 1341. 08:32];0,342088;0,313812;0,344100
[День 1341. 13:15];0,342185;0,313766;0,344049
[День 1341. 23:59];0,342070;0,313995;0,343934
[День 1342. 23:59];0,341816;0,314506;0,343678
[День 1343. 23:59];0,341561;0,315016;0,343423
[День 1344. 12:47];0,341426;0,315287;0,343287
[День 1344. 23:59];0,341308;0,315178;0,343515
[День 1345. 00:45];0,341300;0,315170;0,343530
[День 1345. 17:54];0,341118;0,315534;0,343348
[День 1345. 23:59];0,341242;0,315475;0,343283
[День 1346. 23:59];0,341732;0,315240;0,343028
[День 1347. 23:59];0,342220;0,315007;0,342773
[День 1348. 23:59];0,342707;0,314773;0,342519
[День 1349. 23:59];0,343194;0,314540;0,342266
[День 1350. 23:59];0,343681;0,314307;0,342012
